lookupId,First Order (from sales data),src_www,src_iphone,src_android,src_ipad,src_manual,src_facebookshop,src_external,src_Amazon FBM,January,February,March,April,May,June,July,August,September,October,November,December,pct_Direct Sales,pct_Orders for Stock,pct_Drop Shipments,pct_Platypus,pct_Moss Motors Only,pct_R&D Club,Units Sold,Base Product Sku,Listing Type,Unit Weight (pounds),retailPrice,make,model,yearMin,yearMax,Revenue 2019 to present,Number of Components,BOM Cost,Sales Channel,Product Type,Designer,Main Component Material,Main Component MFG Process,Main Component Finishing Process
CRMC-0210-035,no sales,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,CRMC-0210,single,0.1,20,Lotus,Exige,2007,2020,0,3,1.9877,BigC,#Other,Tristan,Stainless,Laser,None
CRMC-0210-036,no sales,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,CRMC-0210,single,0.1,20,Maserati,Quattroporte,2007,2020,0,3,1.9877,BigC,#Other,Tristan,Stainless,Laser,None
CRMC-0210-037,no sales,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,CRMC-0210,single,0.1,20,Mercedes-Benz,SL,2007,2020,0,3,1.9877,BigC,#Other,Tristan,Stainless,Laser,None
CRMC-0210-038,no sales,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,CRMC-0210,single,0.1,20,Mercury,Mountaineer,2007,2011,0,3,1.9877,BigC,#Other,Tristan,Stainless,Laser,None
CRMC-0210-039,no sales,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,CRMC-0210,single,0.1,20,Mitsubishi,Raider,2007,2019,0,3,1.9877,BigC,#Other,Tristan,Stainless,Laser,None
CRMC-0210-040,no sales,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,CRMC-0210,single,0.1,20,Pontiac,Torrent,2007,2010,0,3,1.9877,BigC,#Other,Tristan,Stainless,Laser,None
CRMC-0210-041,no sales,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,CRMC-0210,single,0.1,20,Saab,9-3 Aero,2008,2010,0,3,1.9877,BigC,#Other,Tristan,Stainless,Laser,None
CRMC-0210-042,no sales,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,CRMC-0210,single,0.1,20,Saturn,"Sky, Vue",2007,2010,0,3,1.9877,BigC,#Other,Tristan,Stainless,Laser,None
CRMC-0210-043,no sales,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,CRMC-0210,single,0.1,20,Scion,FR-S,2007,2020,0,3,1.9877,BigC,#Other,Tristan,Stainless,Laser,None
CRMC-0210-044,no sales,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,CRMC-0210,single,0.1,20,Smart,ForTwo,2007,2017,0,3,1.9877,BigC,#Other,Tristan,Stainless,Laser,None
CRMC-0210-045,3/5/20,28.57%,28.57%,42.86%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,14.29%,14.29%,14.29%,14.29%,0.00%,28.57%,0.00%,14.29%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,7,CRMC-0210,single,0.1,20,Subaru,XV Crosstrek,2007,2020,140,3,1.9877,BigC,#Other,Tristan,Stainless,Laser,None
CRMC-0210-046,no sales,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,CRMC-0210,single,0.1,20,Suzuki,XL-7,2007,2012,0,3,1.9877,BigC,#Other,Tristan,Stainless,Laser,None
CRMC-0210-047,no sales,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,CRMC-0210,single,0.1,20,Volvo,XC40,2007,2020,0,3,1.9877,BigC,#Other,Tristan,Stainless,Laser,None
CRMC-0210-048,2/5/20,63.93%,18.04%,18.04%,2.00%,0.00%,0.00%,0.00%,0.00%,4.01%,12.02%,12.02%,12.02%,14.83%,4.01%,0.00%,8.02%,14.03%,4.01%,8.02%,9.02%,76.15%,9.82%,0.00%,0.00%,0.00%,0.00%,54,CRMC-0210,single,0.1,20,Mazda,MX-5 Miata,1986,2021,998,3,1.9877,BigC,#Other,Tristan,Stainless,Laser,None
CRMC-0210-049,2/17/20,53.73%,19.04%,8.46%,1.06%,15.60%,0.00%,0.00%,0.00%,13.11%,5.29%,5.29%,6.77%,7.09%,4.07%,7.40%,25.86%,6.61%,6.35%,7.93%,2.12%,47.59%,23.00%,7.19%,0.00%,0.00%,0.00%,108,CRMC-0210,single,0.1,20,MINI,"Cooper, Convertible, Coupe, Paceman, Roadster",2001,2021,1891,3,1.9877,BigC,#Other,Tristan,Stainless,Laser,None
CRMC-0210-050,3/17/20,78.26%,14.49%,7.25%,0.00%,0.00%,0.00%,0.00%,0.00%,17.39%,0.00%,7.25%,19.57%,7.25%,7.25%,12.32%,7.25%,7.25%,7.25%,0.00%,7.25%,43.48%,20.29%,0.00%,0.00%,0.00%,0.00%,16,CRMC-0210,single,0.1,20,FIAT,500,2007,2020,276,3,1.9877,BigC,#Other,Tristan,Stainless,Laser,None
CRMC-0260-222,2/6/20,48.73%,20.93%,11.01%,0.55%,15.97%,0.00%,0.00%,0.00%,8.15%,7.43%,8.65%,9.58%,16.35%,12.28%,6.33%,3.52%,7.87%,8.81%,1.49%,6.72%,42.40%,44.88%,0.00%,0.00%,0.00%,0.00%,217,CRMC-0260,single,0.25,24,MINI,"Cooper, Coupe",2001,2021,4358.4,11,4.36176,BigC,#Wipers,Tristan,Aluminum,Lathe,Anodize
CRMC-0260-640,1/22/20,84.28%,4.08%,9.19%,0.00%,0.71%,0.00%,0.00%,0.00%,5.21%,10.31%,14.80%,5.72%,8.01%,14.04%,8.78%,5.05%,13.17%,4.90%,4.80%,3.47%,18.38%,74.37%,3.47%,0.00%,0.00%,0.00%,135,CRMC-0260,single,0.19,24,FIAT,500,2007,2020,2350.8,11,4.36176,BigC,#Wipers,Tristan,Aluminum,Lathe,Anodize
CRMC-0350-127,1/22/19,50.32%,16.84%,0.00%,4.21%,25.68%,0.00%,0.00%,0.00%,12.63%,7.16%,19.79%,20.21%,3.58%,4.21%,8.42%,8.42%,0.00%,4.21%,4.21%,4.21%,46.32%,21.89%,3.58%,0.00%,0.00%,0.00%,26,CRMC-0350,single,0.87,28,MINI,Cooper,2001,2006,664.97,4,15.867,BigC,#FlexPod,Tristan,Steel,Lathe,Zinc
CRMC-0350-232,no sales,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,CRMC-0350,single,0.87,28,MINI,Convertible,2004,2008,0,4,15.867,BigC,#FlexPod,Tristan,Steel,Lathe,Zinc
CRMC-0350-542,3/19/20,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,45.16%,0.00%,32.26%,0.00%,0.00%,0.00%,0.00%,0.00%,22.58%,0.00%,0.00%,0.00%,32.26%,67.74%,0.00%,0.00%,0.00%,0.00%,4,CRMC-0350,single,0.87,28,MINI,Cooper,2001,2006,86.8,4,15.867,BigC,#FlexPod,Tristan,Steel,Lathe,Zinc
CRMC-0703-000,no sales,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,CRMC-0703,single,0.15,25,Kia,Borrego,2008,2012,0,5,2.21991,BigC,#Stubby,Tristan,Aluminum,Lathe,Powder
CRMC-0703-001,10/30/19,33.33%,33.33%,33.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,33.33%,0.00%,0.00%,0.00%,0.00%,33.33%,0.00%,0.00%,33.33%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3,CRMC-0703,single,0.15,25,Kia,Forte,2009,2018,75,5,2.21991,BigC,#Stubby,Tristan,Aluminum,Lathe,Powder
CRMC-0703-002,no sales,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,CRMC-0703,single,0.15,25,Kia,Rio,2006,2011,0,5,2.21991,BigC,#Stubby,Tristan,Aluminum,Lathe,Powder
CRMC-0703-003,2/22/20,0.00%,50.00%,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2,CRMC-0703,single,0.15,25,Kia,Sedona,2006,2014,50,5,2.21991,BigC,#Stubby,Tristan,Aluminum,Lathe,Powder
CRMC-0703-004,5/23/20,50.00%,25.00%,25.00%,0.00%,0.00%,0.00%,0.00%,0.00%,25.00%,0.00%,0.00%,0.00%,25.00%,0.00%,0.00%,0.00%,25.00%,0.00%,25.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4,CRMC-0703,single,0.15,25,Kia,Sorento,2009,2014,100,5,2.21991,BigC,#Stubby,Tristan,Aluminum,Lathe,Powder
CRMC-0703-005,11/13/20,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1,CRMC-0703,single,0.15,25,Kia,Sportage,2006,2015,25,5,2.21991,BigC,#Stubby,Tristan,Aluminum,Lathe,Powder
CRMC-0703-110,12/1/20,53.85%,23.08%,15.38%,0.00%,0.00%,0.00%,0.00%,0.00%,30.77%,15.38%,30.77%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,15.38%,84.62%,0.00%,0.00%,0.00%,0.00%,0.00%,13,CRMC-0703,single,0.14,25,Nissan,350Z,2003,2009,325,5,2.21991,BigC,#Stubby,Tristan,Aluminum,Lathe,Powder
CRMC-0703-164,5/5/19,71.43%,28.57%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,28.57%,0.00%,14.29%,14.29%,14.29%,0.00%,0.00%,28.57%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,7,CRMC-0703,single,0.15,25,MINI,Convertible,2016,2021,175,5,2.21991,BigC,#Stubby,Tristan,Aluminum,Lathe,Powder
CRMC-0703-183,1/24/19,44.95%,24.46%,18.35%,3.06%,0.00%,0.00%,0.00%,0.00%,12.23%,18.35%,9.17%,8.26%,0.00%,15.29%,3.06%,6.12%,9.17%,6.12%,0.00%,3.06%,79.51%,2.14%,0.00%,0.00%,0.00%,0.00%,30,CRMC-0703,single,0.15,25,Ford,Focus,2008,2018,817.5,5,2.21991,BigC,#Stubby,Tristan,Aluminum,Lathe,Powder
CRMC-0703-204,1/17/19,27.19%,12.89%,3.87%,2.58%,52.19%,0.00%,0.64%,0.00%,3.87%,7.73%,5.86%,2.58%,6.44%,50.90%,5.80%,3.22%,2.58%,1.93%,6.51%,1.93%,90.21%,7.22%,0.00%,0.00%,0.00%,0.00%,196,CRMC-0703,single,0.15,25,Ford,Explorer,2018,2021,3880,5,2.21991,BigC,#Stubby,Tristan,Aluminum,Lathe,Powder
CRMC-0703-212,4/17/19,57.14%,14.29%,0.00%,14.29%,0.00%,0.00%,0.00%,0.00%,14.29%,0.00%,28.57%,28.57%,0.00%,0.00%,14.29%,0.00%,0.00%,0.00%,0.00%,0.00%,71.43%,0.00%,0.00%,0.00%,0.00%,0.00%,7,CRMC-0703,single,0.15,25,Honda,Fit,2018,2021,175,5,2.21991,BigC,#Stubby,Tristan,Aluminum,Lathe,Powder
CRMC-0703-218,3/22/19,54.25%,11.76%,7.84%,10.46%,2.61%,0.00%,5.23%,0.00%,5.88%,5.36%,9.15%,9.67%,9.15%,9.15%,14.38%,7.84%,9.15%,4.44%,3.92%,4.05%,73.20%,13.73%,0.00%,0.00%,0.00%,0.00%,81,CRMC-0703,single,0.15,25,Ford,any,any,any,1912.5,5,2.21991,BigC,#Stubby,Tristan,Aluminum,Lathe,Powder
CRMC-0703-227,3/18/19,54.55%,15.91%,15.91%,0.00%,0.00%,0.00%,11.36%,0.00%,9.09%,4.55%,6.82%,4.55%,4.55%,9.09%,15.91%,11.36%,2.27%,9.09%,6.82%,13.64%,86.36%,0.00%,0.00%,0.00%,0.00%,0.00%,46,CRMC-0703,single,0.15,25,Subaru,Forester,1998,2016,1100,5,2.21991,BigC,#Stubby,Tristan,Aluminum,Lathe,Powder
CRMC-0703-228,5/17/19,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2,CRMC-0703,single,0.15,25,Chevrolet,Equinox,2007,2009,25,5,2.21991,BigC,#Stubby,Tristan,Aluminum,Lathe,Powder
CRMC-0703-233,6/18/19,60.87%,13.04%,6.52%,2.17%,0.00%,0.00%,8.70%,0.00%,16.30%,4.35%,4.35%,0.00%,17.39%,8.70%,18.48%,6.52%,2.17%,2.17%,4.35%,6.52%,47.83%,30.43%,0.00%,0.00%,0.00%,0.00%,49,CRMC-0703,single,0.15,25,Volkswagen,Beetle,1998,2010,1150,5,2.21991,BigC,#Stubby,Tristan,Aluminum,Lathe,Powder
CRMC-0703-237,1/15/21,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1,CRMC-0703,single,0.15,25,Ford,Expedition,2011,2018,25,5,2.21991,BigC,#Stubby,Tristan,Aluminum,Lathe,Powder
CRMC-0703-251,3/9/19,42.50%,15.00%,20.00%,10.00%,5.00%,0.00%,5.00%,0.00%,7.50%,2.50%,7.50%,5.00%,5.00%,5.00%,10.00%,17.50%,15.00%,7.50%,7.50%,7.50%,90.00%,0.00%,0.00%,0.00%,0.00%,0.00%,42,CRMC-0703,single,0.15,25,Ford,Explorer,2011,2015,1000,5,2.21991,BigC,#Stubby,Tristan,Aluminum,Lathe,Powder
CRMC-0703-256,7/25/19,60.78%,15.69%,11.76%,3.92%,0.00%,0.00%,7.84%,0.00%,11.76%,3.92%,3.92%,0.00%,7.84%,3.92%,11.76%,7.84%,7.84%,17.65%,7.84%,15.69%,74.51%,13.73%,0.00%,0.00%,0.00%,0.00%,27,CRMC-0703,single,0.15,25,Volkswagen,Jetta,1999,2015,637.5,5,2.21991,BigC,#Stubby,Tristan,Aluminum,Lathe,Powder
CRMC-0703-268,1/21/19,13.29%,3.55%,3.55%,0.00%,79.60%,0.00%,0.00%,0.00%,13.65%,7.18%,14.85%,14.36%,12.37%,3.20%,6.11%,11.66%,0.71%,10.95%,2.84%,2.13%,14.21%,85.07%,0.00%,0.00%,0.00%,0.00%,196,CRMC-0703,single,0.15,25,Ford,Fiesta,2008,2019,3517.5,5,2.21991,BigC,#Stubby,Tristan,Aluminum,Lathe,Powder
CRMC-0703-294,4/7/19,33.33%,33.33%,15.15%,6.06%,0.00%,0.00%,9.09%,0.00%,6.06%,3.03%,9.09%,3.03%,15.15%,12.12%,15.15%,3.03%,15.15%,0.00%,3.03%,12.12%,84.85%,0.00%,0.00%,0.00%,0.00%,0.00%,33,CRMC-0703,single,0.15,25,Toyota,Corolla,2003,2008,825,5,2.21991,BigC,#Stubby,Tristan,Aluminum,Lathe,Powder
CRMC-0703-304,5/24/19,53.62%,11.59%,20.29%,2.90%,0.00%,0.00%,11.59%,0.00%,8.70%,15.94%,5.80%,2.90%,11.59%,2.90%,8.70%,17.39%,5.80%,8.70%,8.70%,2.90%,78.26%,10.14%,0.00%,0.00%,0.00%,0.00%,36,CRMC-0703,single,0.15,25,Mazda,3,2010,2013,862.5,5,2.21991,BigC,#Stubby,Tristan,Aluminum,Lathe,Powder
CRMC-0703-308,3/13/19,42.86%,28.57%,23.81%,0.00%,0.00%,0.00%,0.00%,0.00%,14.29%,19.05%,19.05%,4.76%,9.52%,9.52%,0.00%,0.00%,9.52%,4.76%,0.00%,4.76%,85.71%,0.00%,0.00%,0.00%,0.00%,0.00%,20,CRMC-0703,single,0.15,25,Toyota,Matrix,2003,2013,525,5,2.21991,BigC,#Stubby,Tristan,Aluminum,Lathe,Powder
CRMC-0703-340,3/4/19,76.95%,5.12%,7.68%,0.00%,2.56%,0.00%,2.56%,0.00%,0.00%,2.56%,28.17%,29.45%,9.86%,6.91%,2.56%,7.68%,2.56%,2.56%,2.56%,0.00%,43.53%,46.61%,2.18%,0.00%,0.00%,0.00%,45,CRMC-0703,single,0.15,25,Audi,TT,2004,2011,976.25,5,2.21991,BigC,#Stubby,Tristan,Aluminum,Lathe,Powder
CRMC-0703-348,10/14/19,33.33%,33.33%,22.22%,11.11%,0.00%,0.00%,0.00%,0.00%,0.00%,22.22%,11.11%,0.00%,0.00%,0.00%,0.00%,22.22%,11.11%,11.11%,11.11%,11.11%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,9,CRMC-0703,single,0.15,25,Mazda,5,1999,2015,225,5,2.21991,BigC,#Stubby,Tristan,Aluminum,Lathe,Powder
CRMC-0703-355,no sales,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,CRMC-0703,single,0.15,25,Honda,Crosstour,2010,2015,0,5,2.21991,BigC,#Stubby,Tristan,Aluminum,Lathe,Powder
CRMC-0703-358,2/11/19,61.76%,20.59%,14.71%,2.94%,0.00%,0.00%,0.00%,0.00%,5.88%,5.88%,11.76%,0.00%,5.88%,11.76%,2.94%,8.82%,8.82%,2.94%,14.71%,20.59%,91.18%,0.00%,0.00%,0.00%,0.00%,0.00%,36,CRMC-0703,single,0.15,25,MINI,Countryman,2011,2016,850,5,2.21991,BigC,#Stubby,Tristan,Aluminum,Lathe,Powder
CRMC-0703-359,10/19/19,75.00%,16.67%,8.33%,0.00%,0.00%,0.00%,0.00%,0.00%,8.33%,0.00%,29.17%,0.00%,0.00%,0.00%,29.17%,8.33%,0.00%,25.00%,0.00%,0.00%,41.67%,58.33%,0.00%,0.00%,0.00%,0.00%,15,CRMC-0703,single,0.15,25,Toyota,Yaris,2005,2018,300,5,2.21991,BigC,#Stubby,Tristan,Aluminum,Lathe,Powder
CRMC-0703-367,5/27/19,68.42%,10.53%,10.53%,10.53%,0.00%,0.00%,0.00%,0.00%,0.00%,10.53%,0.00%,0.00%,10.53%,0.00%,47.37%,10.53%,0.00%,0.00%,10.53%,10.53%,63.16%,36.84%,0.00%,0.00%,0.00%,0.00%,11,CRMC-0703,single,0.15,25,MINI,Paceman,2013,2015,237.5,5,2.21991,BigC,#Stubby,Tristan,Aluminum,Lathe,Powder
CRMC-0703-370,4/28/19,51.52%,27.27%,15.15%,0.00%,0.00%,0.00%,3.03%,0.00%,12.12%,3.03%,6.06%,6.06%,6.06%,6.06%,3.03%,18.18%,3.03%,6.06%,9.09%,18.18%,93.94%,0.00%,0.00%,0.00%,0.00%,0.00%,33,CRMC-0703,single,0.15,25,Subaru,CrossTrek,2013,2018,825,5,2.21991,BigC,#Stubby,Tristan,Aluminum,Lathe,Powder
CRMC-0703-384,2/24/19,56.52%,17.39%,4.35%,0.00%,8.70%,0.00%,4.35%,0.00%,4.35%,8.70%,8.70%,4.35%,4.35%,4.35%,13.04%,13.04%,4.35%,13.04%,0.00%,13.04%,86.96%,0.00%,0.00%,0.00%,0.00%,0.00%,22,CRMC-0703,single,0.15,25,Lexus,IS,2003,2013,575,5,2.21991,BigC,#Stubby,Tristan,Aluminum,Lathe,Powder
CRMC-0703-385,4/12/19,58.70%,16.30%,9.78%,0.00%,5.43%,0.00%,9.78%,0.00%,0.00%,4.35%,0.00%,16.30%,20.65%,16.30%,27.17%,4.35%,5.43%,0.00%,5.43%,0.00%,90.22%,0.00%,0.00%,0.00%,0.00%,0.00%,20,CRMC-0703,variant,0.15,20,Pontiac,Solstice,2006,2009,460,5,2.21991,BigC,#Stubby,Tristan,Aluminum,Lathe,Powder
CRMC-0703-412,2/12/20,59.62%,0.00%,0.00%,0.00%,40.38%,0.00%,0.00%,0.00%,40.38%,19.23%,0.00%,0.00%,0.00%,0.00%,0.00%,40.38%,0.00%,0.00%,0.00%,0.00%,0.00%,80.77%,0.00%,0.00%,0.00%,0.00%,7,CRMC-0703,single,0.15,25,MINI,Convertible,2004,2008,130,5,2.21991,BigC,#Stubby,Tristan,Aluminum,Lathe,Powder
CRMC-0703-414,2/12/19,50.00%,8.33%,33.33%,0.00%,0.00%,0.00%,8.33%,0.00%,8.33%,16.67%,8.33%,0.00%,8.33%,8.33%,0.00%,16.67%,8.33%,8.33%,8.33%,8.33%,91.67%,0.00%,0.00%,0.00%,0.00%,0.00%,14,CRMC-0703,single,0.15,25,Ford,Edge,2007,2015,300,5,2.21991,BigC,#Stubby,Tristan,Aluminum,Lathe,Powder
CRMC-0703-420,3/12/19,53.85%,19.23%,19.23%,0.00%,0.00%,0.00%,3.85%,0.00%,23.08%,7.69%,7.69%,0.00%,0.00%,3.85%,3.85%,7.69%,23.08%,7.69%,7.69%,3.85%,92.31%,0.00%,0.00%,0.00%,0.00%,0.00%,25,CRMC-0703,single,0.15,25,Mazda,2,2007,2014,650,5,2.21991,BigC,#Stubby,Tristan,Aluminum,Lathe,Powder
CRMC-0703-421,8/31/20,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1,CRMC-0703,single,0.15,25,Toyota,Echo,2005,2015,25,5,2.21991,BigC,#Stubby,Tristan,Aluminum,Lathe,Powder
CRMC-0703-435,3/6/19,58.82%,5.88%,23.53%,5.88%,0.00%,0.00%,5.88%,0.00%,11.76%,5.88%,17.65%,23.53%,5.88%,11.76%,5.88%,0.00%,11.76%,0.00%,5.88%,0.00%,94.12%,0.00%,0.00%,0.00%,0.00%,0.00%,21,CRMC-0703,single,0.15,25,Ford,Fusion,2005,2018,425,5,2.21991,BigC,#Stubby,Tristan,Aluminum,Lathe,Powder
CRMC-0703-440,2/26/19,56.60%,20.75%,9.43%,7.55%,0.00%,0.00%,3.77%,0.00%,7.55%,11.32%,9.43%,5.66%,9.43%,9.43%,3.77%,13.21%,13.21%,3.77%,7.55%,3.77%,94.34%,0.00%,0.00%,0.00%,0.00%,0.00%,52,CRMC-0703,single,0.15,25,Toyota,RAV4,2009,2015,1325,5,2.21991,BigC,#Stubby,Tristan,Aluminum,Lathe,Powder
CRMC-0703-448,1/27/19,58.97%,12.82%,12.82%,2.56%,0.00%,0.00%,7.69%,0.00%,12.82%,5.13%,2.56%,2.56%,2.56%,2.56%,0.00%,20.51%,5.13%,10.26%,10.26%,20.51%,84.62%,0.00%,0.00%,0.00%,0.00%,0.00%,38,CRMC-0703,single,0.15,25,Toyota,Prius,2001,2015,975,5,2.21991,BigC,#Stubby,Tristan,Aluminum,Lathe,Powder
CRMC-0703-481,8/22/19,60.00%,20.00%,20.00%,0.00%,0.00%,0.00%,0.00%,0.00%,20.00%,0.00%,0.00%,0.00%,20.00%,20.00%,0.00%,40.00%,0.00%,0.00%,0.00%,0.00%,80.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5,CRMC-0703,single,0.15,25,Mercedes-Benz,SLK,2011,2015,125,5,2.21991,BigC,#Stubby,Tristan,Aluminum,Lathe,Powder
CRMC-0703-484,12/3/20,50.00%,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2,CRMC-0703,single,0.15,25,Chrysler,Pacifica,2004,2008,50,5,2.21991,BigC,#Stubby,Tristan,Aluminum,Lathe,Powder
CRMC-0703-489,3/17/21,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1,CRMC-0703,single,0.15,25,Mercury,Cougar,1998,2002,25,5,2.21991,BigC,#Stubby,Tristan,Aluminum,Lathe,Powder
CRMC-0703-499,3/2/20,33.33%,33.33%,33.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,33.33%,33.33%,0.00%,33.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3,CRMC-0703,single,0.15,25,Dodge,Avenger,2007,2010,75,5,2.21991,BigC,#Stubby,Tristan,Aluminum,Lathe,Powder
