lookupId,First Order (from sales data),src_www,src_iphone,src_android,src_ipad,src_manual,src_facebookshop,src_external,src_Amazon FBM,January,February,March,April,May,June,July,August,September,October,November,December,pct_Direct Sales,pct_Orders for Stock,pct_Drop Shipments,pct_Platypus,pct_Moss Motors Only,pct_R&D Club,Units Sold,Base Product Sku,Listing Type,Unit Weight (pounds),retailPrice,make,model,yearMin,yearMax,Revenue 2019 to present,Number of Components,BOM Cost,Sales Channel,Product Type,Designer,Main Component Material,Main Component MFG Process,Main Component Finishing Process
CRCH-0015-276,3/14/19,11.63%,29.70%,44.55%,2.48%,0.00%,0.00%,7.43%,0.00%,12.38%,2.48%,14.85%,4.95%,12.38%,4.95%,9.90%,9.90%,4.95%,9.90%,4.21%,4.95%,81.68%,1.73%,0.00%,0.00%,0.00%,0.00%,39,CRCH-0015,single,0.2,25,Dodge,Dart,2013,2016,1010,5,3.16223,BigC,#Stubby,Tristan,Aluminum,Lathe,Powder
CRCH-0015-326,2/5/19,37.50%,29.76%,17.86%,4.46%,1.49%,0.00%,6.70%,0.00%,11.90%,8.93%,8.18%,6.70%,4.76%,6.70%,9.67%,11.16%,9.67%,5.21%,8.93%,5.95%,85.57%,1.04%,0.00%,0.00%,0.00%,0.00%,138,CRCH-0015,single,0.2,25,Jeep,Grand Cherokee,2011,2015,3360,5,3.16223,BigC,#Stubby,Tristan,Aluminum,Lathe,Powder
CRCH-0015-341,1/19/19,45.76%,11.86%,20.34%,10.17%,3.39%,0.00%,5.08%,0.00%,6.78%,10.17%,15.25%,5.08%,5.08%,6.78%,5.08%,11.86%,13.56%,5.08%,8.47%,3.39%,88.14%,0.00%,0.00%,0.00%,0.00%,0.00%,61,CRCH-0015,single,0.2,25,Chevrolet,Equinox,2010,2014,1475,5,3.16223,BigC,#Stubby,Tristan,Aluminum,Lathe,Powder
CRCH-0015-364,4/29/19,43.90%,12.20%,29.27%,2.44%,7.32%,0.00%,4.88%,0.00%,2.44%,2.44%,7.32%,12.20%,4.88%,4.88%,14.63%,12.20%,14.63%,9.76%,9.76%,4.88%,90.24%,0.00%,0.00%,0.00%,0.00%,0.00%,42,CRCH-0015,single,0.2,25,GMC,Terrain,2010,2018,1025,5,3.16223,BigC,#Stubby,Tristan,Aluminum,Lathe,Powder
CRCH-0015-511,5/12/19,44.12%,17.65%,17.65%,2.94%,2.94%,0.00%,14.71%,0.00%,5.88%,5.88%,20.59%,11.76%,20.59%,5.88%,2.94%,0.00%,8.82%,14.71%,2.94%,0.00%,85.29%,0.00%,0.00%,0.00%,0.00%,0.00%,36,CRCH-0015,single,0.2,25,Cadillac,SRX,2010,2014,850,5,3.16223,BigC,#Stubby,Tristan,Aluminum,Lathe,Powder
CRCH-0015-514,7/3/19,20.00%,20.00%,40.00%,0.00%,0.00%,0.00%,20.00%,0.00%,0.00%,0.00%,0.00%,0.00%,20.00%,0.00%,20.00%,0.00%,20.00%,20.00%,0.00%,20.00%,80.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5,CRCH-0015,single,0.2,25,Dodge,Magnum,2005,2008,125,5,3.16223,BigC,#Stubby,Tristan,Aluminum,Lathe,Powder
CRCH-0015-554,2/19/19,53.85%,15.38%,23.08%,0.00%,0.00%,0.00%,0.00%,0.00%,7.69%,23.08%,7.69%,7.69%,0.00%,23.08%,15.38%,0.00%,0.00%,0.00%,7.69%,0.00%,92.31%,0.00%,0.00%,0.00%,0.00%,0.00%,13,CRCH-0015,single,0.2,25,Dodge,Avenger,2011,2015,325,5,3.16223,BigC,#Stubby,Tristan,Aluminum,Lathe,Powder
CRCH-0015-581,9/8/19,27.78%,38.89%,27.78%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,11.11%,22.22%,0.00%,5.56%,5.56%,11.11%,11.11%,16.67%,0.00%,5.56%,5.56%,94.44%,0.00%,0.00%,0.00%,0.00%,0.00%,17,CRCH-0015,single,0.2,25,Dodge,Journey,2009,2018,450,5,3.16223,BigC,#Stubby,Tristan,Aluminum,Lathe,Powder
CRCH-0015-597,5/16/19,22.22%,11.11%,22.22%,0.00%,11.11%,0.00%,22.22%,0.00%,0.00%,11.11%,22.22%,22.22%,22.22%,0.00%,11.11%,0.00%,0.00%,0.00%,0.00%,0.00%,66.67%,0.00%,0.00%,0.00%,0.00%,0.00%,8,CRCH-0015,single,0.2,25,Chrysler,300,2005,2015,225,5,3.16223,BigC,#Stubby,Tristan,Aluminum,Lathe,Powder
CRCH-0015-632,2/2/19,38.87%,31.35%,21.94%,0.00%,1.57%,0.00%,7.84%,0.00%,6.27%,7.84%,10.97%,18.34%,7.37%,5.80%,6.27%,10.97%,9.40%,7.84%,2.90%,7.60%,79.94%,0.00%,10.66%,0.00%,0.00%,0.00%,70,CRCH-0015,single,0.2,25,Chevrolet,Cruze,2011,2015,1595,5,3.16223,BigC,#Stubby,Tristan,Aluminum,Lathe,Powder
CRCH-0015-661,1/22/19,43.48%,21.88%,16.41%,12.76%,0.00%,0.00%,1.82%,0.00%,9.12%,10.94%,12.76%,5.47%,7.29%,5.47%,11.67%,12.76%,5.01%,3.65%,3.10%,9.12%,89.33%,5.20%,0.00%,0.00%,0.00%,0.00%,55,CRCH-0015,single,0.2,25,Jeep,Renegade,2015,2018,1371.25,5,3.16223,BigC,#Stubby,Tristan,Aluminum,Lathe,Powder
CRCH-0015-707,8/23/19,0.00%,33.33%,33.33%,0.00%,0.00%,0.00%,33.33%,0.00%,0.00%,0.00%,33.33%,33.33%,0.00%,0.00%,0.00%,33.33%,0.00%,0.00%,0.00%,0.00%,66.67%,0.00%,0.00%,0.00%,0.00%,0.00%,3,CRCH-0015,single,0.2,25,Dodge,Nitro,2011,2012,75,5,3.16223,BigC,#Stubby,Tristan,Aluminum,Lathe,Powder
CRCH-0015-735,1/6/19,50.00%,22.22%,16.67%,2.78%,0.00%,0.00%,8.33%,0.00%,11.11%,16.67%,2.78%,19.44%,11.11%,2.78%,0.00%,8.33%,5.56%,8.33%,8.33%,5.56%,86.11%,0.00%,0.00%,0.00%,0.00%,0.00%,38,CRCH-0015,single,0.2,25,Dodge,Durango,2011,2018,900,5,3.16223,BigC,#Stubby,Tristan,Aluminum,Lathe,Powder
CRCH-0015-873,5/13/19,35.00%,20.00%,20.00%,0.00%,10.00%,0.00%,15.00%,0.00%,5.00%,10.00%,5.00%,10.00%,15.00%,15.00%,5.00%,10.00%,5.00%,15.00%,5.00%,0.00%,85.00%,0.00%,0.00%,0.00%,0.00%,0.00%,21,CRCH-0015,single,0.2,25,Chevrolet,Sonic,2011,2014,500,5,3.16223,BigC,#Stubby,Tristan,Aluminum,Lathe,Powder
CRCH-0015-961,1/15/19,69.60%,9.45%,5.00%,1.85%,7.41%,0.00%,1.30%,0.00%,8.06%,7.55%,10.27%,10.26%,2.21%,9.47%,9.27%,11.12%,1.95%,12.42%,2.78%,9.27%,35.77%,53.07%,4.49%,0.00%,0.00%,0.00%,146,CRCH-0015,single,0.14,25,FIAT,500,2016,2018,2697.5,5,3.16223,BigC,#Stubby,Tristan,Aluminum,Lathe,Powder
CRCH-0015-964,4/30/20,0.00%,50.00%,16.67%,16.67%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,33.33%,16.67%,0.00%,0.00%,0.00%,0.00%,16.67%,0.00%,16.67%,0.00%,83.33%,0.00%,0.00%,0.00%,0.00%,0.00%,6,CRCH-0015,single,0.2,25,Chevrolet,Volt,2011,2014,150,5,3.16223,BigC,#Stubby,Tristan,Aluminum,Lathe,Powder
CRCH-0015-991,1/24/19,40.00%,13.33%,33.33%,0.00%,0.00%,0.00%,13.33%,0.00%,13.33%,6.67%,6.67%,6.67%,13.33%,20.00%,6.67%,13.33%,0.00%,13.33%,0.00%,0.00%,86.67%,0.00%,0.00%,0.00%,0.00%,0.00%,15,CRCH-0015,single,0.2,25,Chrysler,200,2011,2016,375,5,3.16223,BigC,#Stubby,Tristan,Aluminum,Lathe,Powder
CRCH-0016-141,3/21/19,23.08%,25.64%,34.19%,0.00%,0.00%,0.00%,8.55%,0.00%,17.09%,17.09%,23.08%,17.09%,8.55%,0.00%,0.00%,0.00%,0.00%,0.00%,8.55%,0.00%,76.92%,5.98%,0.00%,0.00%,0.00%,0.00%,12,CRCH-0016,single,0.25,35,Jeep,Grand Cherokee,2011,2015,409.5,5,6.82223,BigC,#BulletStubby,Tristan,Aluminum,Lathe,Anodize
CRCH-0016-162,no sales,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,CRCH-0016,single,0.25,35,Dodge,Nitro,2011,2012,0,5,6.82223,BigC,#BulletStubby,Tristan,Aluminum,Lathe,Anodize
